Date,WY
2006-04-01,12.868441581726074
2006-05-01,11.76442813873291
2006-06-01,11.449904441833496
2006-07-01,10.789581298828125
2006-08-01,11.523687362670898
2006-09-01,11.436335563659668
2006-10-01,11.819214820861816
2006-11-01,12.137311935424805
2006-12-01,13.257588386535645
2007-01-01,14.187638282775879
2007-02-01,16.251466751098633
2007-03-01,14.138455390930176
2007-04-01,14.985928535461426
2007-05-01,15.623044967651367
2007-06-01,15.045464515686035
2007-07-01,13.57961654663086
2007-08-01,13.104792594909668
2007-09-01,13.898728370666504
2007-10-01,14.592704772949219
2007-11-01,14.183782577514648
2007-12-01,14.292320251464844
2008-01-01,13.229287147521973
2008-02-01,11.969730377197266
2008-03-01,12.7207670211792
2008-04-01,12.610806465148926
2008-05-01,12.304811477661133
2008-06-01,10.095752716064453
2008-07-01,10.679888725280762
2008-08-01,11.085433006286621
2008-09-01,12.102280616760254
2008-10-01,7.635343074798584
2008-11-01,7.635117053985596
2008-12-01,6.2124128341674805
2009-01-01,5.597497463226318
2009-02-01,4.946436882019043
2009-03-01,5.644586563110352
2009-04-01,7.271597385406494
2009-05-01,6.925131797790527
2009-06-01,6.275517463684082
2009-07-01,7.236605644226074
2009-08-01,7.721938610076904
2009-09-01,7.569110870361328
2009-10-01,7.505087852478027
2009-11-01,8.053003311157227
2009-12-01,8.92159366607666
2010-01-01,8.261478424072266
2010-02-01,8.365004539489746
2010-03-01,9.373360633850098
2010-04-01,10.263579368591309
2010-05-01,8.825188636779785
2010-06-01,7.295597553253174
2010-07-01,9.12545108795166
2010-08-01,8.832898139953613
2010-09-01,8.866655349731445
2010-10-01,9.12545108795166
2010-11-01,9.418574333190918
2010-12-01,10.682661056518555
2011-01-01,13.081035614013672
2011-02-01,13.861974716186523
2011-03-01,13.969871520996094
2011-04-01,13.06694221496582
2011-05-01,12.313959121704102
2011-06-01,12.49689769744873
2011-07-01,11.42785930633545
2011-08-01,10.39653491973877
2011-09-01,8.966503143310547
2011-10-01,10.367700576782227
2011-11-01,9.766546249389648
2011-12-01,10.860116004943848
2012-01-01,11.645395278930664
